209530,4024400
234850,3873200
84280,2098200
224110,4507300
60560,3214300
3450,2986600
60510,4423200
268090,2183400
311670,4627200
69960,5274000
83160,2479500
152720,2561800
283280,2487600
209390,3898500
245590,2243300
166490,3274500
226780,2736600
314770,5110600
83480,4112000
234120,3440400
4950,4375700
242700,2654600
152210,3831100
83800,3362100
118150,3537700
135930,4013100
201720,4886500
257500,3573300
9730,3392100
19500,4553200
163550,3859900
55090,2626500
259650,2421800
46030,2154500
253380,4801500
159490,4583300
190050,2745100
323790,2145800
257620,2799200
150790,2480900
233690,4867200
249400,3077300
247690,3792200
265060,4574200
318440,4845600
185070,3543100
142870,4401600
216960,2748400
282350,4629900
90290,4080500
215470,4497800
138710,2778400
324290,3348200
92420,4542300
214740,4432200
302320,3207500
202260,4240500
228490,3222800
75590,3658700
52020,2663500
122760,4370900
220660,4656300
149580,3099400
12800,3042500
45260,3030900
312300,4607300
25200,3233300
10890,2218100
258160,3033100
276050,3452200
18850,4506900
265980,4211200
147060,3667900
15720,4226600
4980,2677400
289010,3277400
304840,3820000
65700,3267400
291940,2785000
230990,2095200
181590,4156100
270250,4067900
11270,4811400
228610,4694300
56780,3769800
86970,2756300
99990,2252700
296750,4470600
192060,5124700
142040,3970500
52540,3033700
324790,2297000
285370,2628100
156440,4496400
141310,2597500
259160,5229100
275360,4017400
202020,4866300
155200,3029500
228380,4119800
279930,5153600
287620,2522500
12950,4566900
299310,4050200
241490,3136700
74390,4940300
217040,2715000
323730,3747400
134320,3524900
96700,4756300
212240,2281800
270860,3599200
229920,3452100
118880,2574500
248160,2195800
269430,4004200
7260,4293700
252670,2202200
158390,4243000
225240,2722000
10290,4996300
38550,4273300
43450,2346000
74390,3777700
187090,3710900
125730,2716500
199280,2689100
231570,3015200
214120,2227700
158970,3346100
42360,3007300
7350,2496200
2420,4600200
69840,3608100
156640,4950800
233010,3669300
267030,4715600
66580,5104900
306160,3409800
160580,3655700
312070,4863100
237220,3836700
27550,3411200
285200,4416700
163890,3164900
48600,4062500
217220,2559500
255880,4196500
315970,5257200
52780,3449300
293130,4858000
311860,4324800
229680,2507700
215290,4081700
191750,2482000
46060,3761400
6830,4832900
32140,2343800
96730,5173400
276060,4606200
106150,5246600
139200,5233800
52940,2674000
215350,2412300
65440,4681300
186170,2308900
226250,3703500
263380,3282600
221120,3509900
8750,2851900
199190,2548100
261340,4060300
10420,4934800
240410,3071500
283140,3887900
40100,2616100
185780,3793000
57310,4387200
246700,4726600
279950,5121400
213120,3384400
15360,3116900
308800,4787400
239950,4022400
102050,4487000
287440,5012500
303520,4211000
179600,5139400
186900,2923300
93420,3423600
281130,3335200
203970,3392300
312820,4612900
50270,4318400
206270,2025400
216300,2917100
140990,4316600
203410,3221100
182720,3156800
324350,4847800
36710,4841100
258350,2125500
177530,3102700
326490,2367500
202600,2922300
179110,3560500
225750,2554100
295280,4108900
316700,2178700
115050,3952900
20420,2036800
287010,3614100
235340,3627400
283520,2903900
278420,4801900
47490,5151300
236630,5058400
0,2864800
88430,5265000
123240,4910300
91050,5023500
119410,5168100
30080,2870100
200020,2191000
104890,5150800
214400,3253100
318760,3737300
286720,4264200
8790,4425600
316810,4872100
195070,2366200
274670,3040200
14780,4746700
190510,3032100
273490,5137500
66570,2368700
288420,3859800
26000,5185100
272990,4260200
9930,2502000
213420,4243300
175510,4045000
70380,3345500
103250,2791700
49430,2923800
38710,4445100
129010,5133800
20850,3437900
260370,4113600
247010,4061900
197430,5135800
243060,3581800
171880,4690600
149010,3171900
167400,3589400
167400,2531500
55600,2152300
257650,3259800
149790,2332200
205160,3992200
125610,4438700
